house,quality label
Jacobus,2
Jenners,2
Jennie,2
Judith,1
Kangley,2
Kankakee,3
Kathryn,1
Keiser,3
Kemblesville,2
Kendall,3
Kettle,2
Kevin,1
Keweenaw,2
Kihei,2
Kildare,2
Kinde,2
Kingdom,1
Kingfisher,1
Kinney,2
Kirksville,0
Kirwin,2
Klickitat,2
Kobuk,2
Kopperl,2
Kremlin,3
Kronborg,2
Lacon,0
Lajas,3
Lakeville,1
Landing,3
Laupahoehoe,1
Laytonsville,3
Leavittsburg,2
Leilani,0
Lenoir,3
Leonardo,1
Lessley,2
Liddieville,2
Lincolnwood,0
Lindberg,0
Lindenwood,3
Lindsborg,2
Lineville,3
Lluveras,3
Losantville,2
Lucan,2
Ludlowville,2
Lynchburg,3
Lynxville,3
MacArthur,2
Macedon,2
Macksville,2
Macland,3
Maguayo,1
Mahtomedi,3
Maida,3
Maiden,2
Maitland,2
Mammoth,3
Manassas,2
Maricopa,3
Markleeville,2
Marksville,2
Marland,2
Marstons,2
Martinville,2
Mashulaville,3
Maugansville,2
Maunawili,3
Mayesville,3
Mazomanie,2
McCloud,2
McClure,2
McDade,2
McEwen,2
McKeesport,2
McNary,2
Melstone,1
Mentasta,2
Mentmore,3
Merchantville,1
Merlin,3
Merom,3
Michiana,3
Mifflinburg,2
Milaca,2
Milford,2
Millbury,3
Moark,1
Moberly,3
Model,3
Mogadore,3
Mogote,2
Monticello,3
Montreal,2
Moonachie,1
Muleshoe,2
Mullica,3
Munsons,2
Murchison,2
Musicks,2
Natural,2
Neibert,2
Neshkoro,1
Newcomb,3
Newfields,3
Noonday,3
Northgate,2
Norvelt,2
Noxapater,3
Ogilvie,2
Ohoopee,3
Okabena,3
Onaga,3
Ooltewah,2
Ophir,2
Orangeburg,2
Orason,2
Oriole,2
Ossipee,2
Ovalo,2
Paige,2
Pamelia,2
Pasatiempo,2
Peacock,3
Pearce,2
Peconic,2
Peden,3
Pinesdale,2
Pittsburg,3
Plumerville,2
Pocasset,3
Pocopson,3
Poipu,2
Pomaria,3
Portal,2
Portola,1
Potosi,2
Potterville,2
Poyen,3
Ranchester,2
Random,3
Readsboro,2
Redbank,1
Reserve,3
Retsof,2
Rogue,3
Rough,2
Ruckersville,3
Rutherford,3
Sagerton,3
Sarcoxie,2
Scandinavia,2
Schiller,2
Schoolcraft,2
Seatonville,3
Seeley,3
Seiling,3
Sharon,2
Shauck,3
Shelbyville,2
Shellsburg,1
Sherrill,2
Shumway,2
Silerton,3
Silva,1
Siren,2
Smoketown,2
Sontag,3
Southfield,2
Spread,3
Springerville,3
Starks,3
Stigler,0
Stockertown,2
Stockman,3
Stockwell,2
Sugarville,3
Sultan,3
Sundown,3
Sunshine,2
Sussex,2
Sweatman,3
Swisshome,3
Tallmadge,3
Tansboro,2
Tariffville,2
Terrell,0
Texasville,2
Thrall,1
Tilghmanton,0
Tillman,0
Timberon,2
Tippecanoe,3
Tokeland,2
Tomales,2
Tomkins,0
Torrington,2
Touhy,3
Tradewinds,2
Trail,2
Traver,3
Tyler,3
Tysons,1
Umpqua,3
Uncertain,3
Upham,2
Uvalda,3
Vacherie,3
Vails,1
Victorville,1
Voorhees,3
Waimea,2
Wainscott,1
Waipahu,3
Wakeman,3
Waldenburg,2
Wando,3
Wappingers,2
Warrenville,2
Wattsville,3
Waucousta,3
Waukeenah,2
Webster,1
Weleetka,2
Wells,3
Wesley,2
Westerville,3
Westfield,3
Whiteriver,1
Whitethorn,2
Wiconisco,3
Wilbraham,3
Wilkesboro,3
Wilkinsburg,2
Willow,2
Wilseyville,1
Windhorst,1
Winfield,1
Winooski,3
Winthrop,3
Woodbine,1
Wyatt,2
Wyldwood,2
Yadkinville,0
Yankeetown,0
Yscloskey,2
Adrian,5
Albertville,5
Anaheim,4
Andover,4
Angiola,5
Annawan,5
Applewold,4
Arkansaw,5
Avonia,5
Azusa,4
Ballou,5
Beach,5
Bolton,4
Bonfield,4
Bowlus,4
Brentsville,4
Brevort,5
Cantwell,4
Capistrano,5
Caruthers,4
Colebrook,5
Connellsville,4
Convoy,5
Cooperstown,5
Crandon,4
Dauberville,4
Delton,4
Denmark,4
Dryville,4
Dunmor,4
Eagerville,4
Eastville,4
Edgemere,4
Elmira,4
Espanola,4
Eudora,4
Ewansville,4
Goffs,4
Greigsville,4
Hainesburg,4
Hambleton,4
Haxtun,4
Hillsdale,4
Hometown,4
Hominy,4
Kerrtown,4
Ladue,4
Lathrup,4
Lovilia,4
Maben,5
Maryhill,4
Matoaca,4
Mesic,4
Micanopy,4
Mifflintown,4
Mobridge,4
Monson,4
Morris,4
Mosinee,4
Mosquito,4
Nemacolin,4
Nicut,5
Nimmons,4
Nuevo,4
Oyens,4
Pablo,4
Parole,4
Pettigrew,4
Placida,4
Pleasant,4
Plessis,4
Purple,4
Quantico,4
Rabbit,4
Rancocas,4
Reyno,4
Ribera,4
Roane,4
Rockport,4
Roeville,4
Rosenberg,4
Rosser,4
Roxboro,4
Samuels,4
Sanctuary,4
Sands,4
Sasakwa,4
Sawpit,4
Scioto,4
Seward,4
Shelbiana,4
Shingler,4
Silas,4
Sisters,4
Sodaville,4
Soldier,4
Spencerville,4
Spotswood,4
Springhill,4
Stanleyville,4
Stilwell,4
Stokes,4
Sumas,4
Superior,4
Swormville,4
Woonsocket,4
